Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
Telix Pharmaceuticals Limited,TLX,5736.7,NSDQ,12,Medical,Medical - Biomedical and Genetics,16.96,0.1,0.52,0.74
Tilly's,TLYS,35.88,NYSE,1,Retail-Wholesale,Retail - Apparel and Shoes,1.19,-1.37,-1.33,-0.84
Toyota Motor,TM,236592.98,NYSE,3,Auto-Tires-Trucks,Automotive - Foreign,175.59,23.61,18.62,22.56
The Metals Company,TMC,2444.76,NSDQ,12,Basic Materials,Mining - Miscellaneous,6.75,-0.25,-0.2,-0.22
Treace Medical Concepts,TMCI,343.38,NSDQ,12,Medical,Medical - Instruments,5.46,-0.9,-0.78,-0.64
TMD Energy Limited,TMDE,43.43,AMEX,12,Transportation,Transportation - Shipping,1.88,0.09,,
TransMedics Group,TMDX,4194.2,NSDQ,12,Medical,Medical - Instruments,124,1.01,1.88,2.52
Tencent Music Entertainment Group,TME,31936.2,NYSE,12,Consumer Discretionary,Media Conglomerates,18.61,0.67,0.81,0.94
Taylor Morrison Home,TMHC,5763.11,NYSE,12,Construction,Building Products - Home Builders,57.42,8.27,8.25,8.41
Trend Micro,TMICY,10426.72,OTC,12,Computer and Technology,Computer - Software,74,1.57,2.05,2.38
Tele Group,TMLL,62.4,OTC,6,Computer and Technology,Internet - Delivery Services,1,,,
Thermo Fisher Scientific,TMO,148189.02,NYSE,12,Medical,Medical - Instruments,392.56,21.86,22.32,24.66
Tompkins Financial,TMP,867.66,AMEX,12,Finance,Banks - Northeast,60.11,4.97,5.58,6.13
Trilogy Metals,TMQ,229.94,AMEX,11,Basic Materials,Mining - Miscellaneous,1.4,-0.05,-0.04,-0.02
TEMENOS GROUP,TMSNY,5413.89,OTC,12,Computer and Technology,Internet - Software,75.29,2.43,3.68,3.99
TMobile US,TMUS,250922.02,NSDQ,12,Computer and Technology,Wireless National,220.99,9.66,10.56,12.57
Tenaga Nasional Berhad,TNABY,18085.41,OTC,12,Utilities,Utility - Electric Power,12.5,0.55,,
Tennant,TNC,1400.32,NYSE,12,Industrial Products,Manufacturing - General Industrial ,75.07,6.57,5.95,
Tandem Diabetes Care,TNDM,1359.12,NSDQ,12,Medical,Medical - Instruments,20.405,-1.91,-1.37,-0.75
TriNet,TNET,3635.75,NYSE,12,Business Services,Outsourcing,75.12,5.32,4.18,4.66
"TNF Pharmaceuticals, Inc.",TNFA,1.98,NSDQ,12,Medical,Medical - Drugs,0.1398,-11.15,,
Tango Therapeutics,TNGX,520.29,NSDQ,12,Medical,Medical - Biomedical and Genetics,4.8,-1.19,-1.38,-1.32
TEEKAY TANK LTD,TNK,1600.78,NYSE,12,Transportation,Transportation - Shipping,46.67,10.31,6.47,6.86
Travel  Leisure Co.,TNL,3246.39,NYSE,12,Consumer Discretionary,Leisure and Recreation Services,48.88,5.75,6.31,7.31
TransLux,TNLX,4.05,OTC,12,Computer and Technology,Electronics - Miscellaneous Products,0.3,-0.3,,
TNL Mediagene,TNMG,15.15,NSDQ,12,Business Services,Advertising and Marketing,0.58,-3.46,,
Tenon Medical,TNON,6.69,NSDQ,12,Medical,Medical - Instruments,0.8809,-11.26,,
Tonix Pharmaceuticals,TNXP,252.5,NSDQ,12,Medical,Medical - Drugs,34.32,-176.6,-12.93,-6.08
Tenaya Therapeutics,TNYA,94.1,NSDQ,12,Medical,Medical - Biomedical and Genetics,0.5785,-1.31,-0.73,-0.62
TAAT Global Alternatives,TOBAF,1.44,OTC,10,Consumer Staples,Consumer Products - Staples,0.1214,-0.76,,
Tokyo Electron,TOELY,78435.03,OTC,3,Computer and Technology,Electronics - Miscellaneous Products,85.13,3.88,4.14,4.66
Tofutti Brands,TOFB,3.49,OTC,12,Consumer Staples,Food - Miscellaneous,0.677,-0.17,,
The Oncology Institute,TOI,212.38,NSDQ,12,Medical,Medical Services,2.38,-0.71,,
Topicus.com Inc.,TOITF,25407.79,OTC,12,Computer and Technology,Internet - Software,120,1.2,,
Toll Brothers,TOL,10353.19,NYSE,10,Construction,Building Products - Home Builders,105.45,15.01,13.95,14.41
TOMI Environmental Solutions,TOMZ,21.22,NSDQ,12,Business Services,Waste Removal Services,1.06,-0.1,-0.11,0.07
"Kartoon Studios, Inc.",TOON,34.89,AMEX,12,Consumer Discretionary,Media Conglomerates,0.73,-0.54,,
TOP Financial Group Limited,TOP,45.91,NSDQ,3,Finance,Financial - Investment Bank,1.24,,,
TOPCON,TOPCF,2425.99,OTC,3,Business Services,Technology Services,22.3836,0.18,,
Toppoint Holdings Inc.,TOPP,32.03,AMEX,12,Business Services,Waste Removal Services,1.83,0.01,,
TOP Ships,TOPS,27.06,AMEX,12,Transportation,Transportation - Shipping,5.85,1.09,,
TOR Minerals International,TORM,4.07,OTC,12,Basic Materials,Chemical - Diversified ,1.15,-0.74,,
Toro Corp.,TORO,44.11,NSDQ,12,Transportation,Transportation - Shipping,2.31,-0.04,,
Tosoh,TOSCF,4314.48,OTC,3,Basic Materials,Chemical - Diversified ,13.55,1.2,,
Toast,TOST,21204.84,NYSE,12,Computer and Technology,Internet - Software,42.58,0.03,0.95,1.21
Tuniu,TOUR,99.13,NSDQ,12,Computer and Technology,Internet - Content,0.8469,0.09,,
"Theriva Biologics, Inc.",TOVX,3.69,AMEX,12,Medical,Medical - Drugs,0.451,-19.03,,
Towne Bank,TOWN,2458.52,NSDQ,12,Finance,Banks - Southeast,32.78,2.18,2.59,3.45
"TOYO Co., Ltd.",TOYO,170.55,NSDQ,12,Oils-Energy,Solar,3.6999,1.09,,
Turning Point Brands,TPB,1333.62,NYSE,12,Consumer Staples,Tobacco,74.5,2.53,3.36,3.84
