Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
"Bollore","BOIVF","16170.06","OTC","12","Transportation","Transportation - Rail","5.7",".05","",""
"BOK Financial","BOKF","7107.27","NSDQ","12","Finance","Banks - Southwest","111.73","8.24","8.34","8.92"
"Boundless Bio, Inc.","BOLD","25.52","NSDQ","12","Medical","Medical - Biomedical and Genetics","1.14","-3.85","-2.46","-2.55"
"Bolt Biotherapeutics","BOLT","10.17","NSDQ","12","Medical","Medical - Biomedical and Genetics","5.3","-32.2","-23","-13.8"
"DMC Global","BOOM","129.87","NSDQ","12","Industrial Products","Industrial Services","6.31",".1",".25",".34"
"Boot Barn","BOOT","5392.15","NYSE","3","Retail-Wholesale","Retail - Apparel and Shoes","176.47","5.82","6.5","7.34"
"Borr Drilling","BORR","699.23","NYSE","12","Oils-Energy","Oil and Gas - Drilling","2.96",".32","",""
"B.O.S. Better Online Solutions","BOSC","28.49","NSDQ","12","Computer and Technology","Computer - Networking","4.81",".59","",""
"Hugo Boss","BOSSY","3388.69","OTC","12","Consumer Discretionary","Textile - Apparel","9.82",".67",".77",".87"
"Bouygues","BOUYF","81665.29","OTC","12","Industrial Products","Industrial Services","43.1","3.03","",""
"Bowhead Specialty Holdings Inc.","BOW","1018.52","NYSE","12","Finance","Insurance - Property and Casualty","31.07","1.44","1.61","2"
"Boardwalk Real Estate Investment Trust","BOWFF","2469.68","OTC","12","Finance","REIT and Equity Trust - Residential","50.29","3.05","",""
"Bowen Acquisition Corp.","BOWN","27.52","NSDQ","12","Unclassified","Unclassified","9.19","","",""
"Box","BOX","4720.6","NYSE","1","Computer and Technology","Internet - Software","32.83","1.71","1.28","1.42"
"Boxlight","BOXL","4.91","NSDQ","12","Business Services","Technology Services","1.85","-13.91","",""
"BP","BP","93243.79","NYSE","12","Oils-Energy","Oil and Gas - Integrated - International","35.35","3.26","2.65","2.79"
"Banco Comercial Portugues","BPCGY","12801.55","OTC","12","Finance","Banks - Foreign","8.47","",".74",".85"
"Basilea Pharmaceutica","BPMUF","892.25","OTC","12","Medical","Medical - Biomedical and Genetics","67.75","6.62","",""
"Popular","BPOP","8433.33","NSDQ","12","Finance","Banks - Southeast","124.785","9","11.37","12.74"
"bpost","BPOSY","501","OTC","12","Consumer Discretionary","Consumer Services - Miscellaneous","2.505",".66","",""
"Princeton Bancorp, Inc.","BPRN","231.45","NSDQ","12","Finance","Banks - Northeast","34.3","2.73","2.68","3.62"
"Bio-Path Holdings","BPTH","1.02","OTC","12","Medical","Medical - Drugs",".1232","-4.12","-1.5","-1.42"
"Broadridge Financial Solutions","BR","30110.44","NYSE","6","Computer and Technology","Internet - Software","257.07","8.55","9.31","10.15"
"Bragg Gaming Group Inc.","BRAG","67.62","NSDQ","12","Consumer Discretionary","Gaming","2.7","-.23","-.08","0"
"Big Rock Brewery","BRBMF","18.54","OTC","12","Consumer Staples","Beverages - Alcohol",".76","-1.4","",""
"BellRing Brands","BRBR","5148.77","NYSE","9","Consumer Staples","Food - Miscellaneous","40.87","1.93","2.21","2.4"
"BLUE RIDGE BKSH","BRBS","366.66","AMEX","12","Finance","Banks - Northeast","3.98","-.31","",""
"Brady","BRC","3671.22","NYSE","7","Industrial Products","Security and Safety Services","77.59","4.22","",""
"BRC INC","BRCC","384.75","NYSE","12","Consumer Staples","Consumer Products - Staples","1.55",".12","-.09","-.01"
"Brainchip Holdings Ltd.","BRCHF","228.44","OTC","12","Business Services","Technology Services",".1265","-.01","",""
"Burcon NutraScience","BRCNF","23.73","OTC","3","Consumer Staples","Food - Miscellaneous","1.87","-.76","-4.89","4.6"
"Bridgestone","BRDCY","31090.56","OTC","12","Auto-Tires-Trucks","Automotive - Foreign","22.7","1.38","1.38","2"
"Bridge Investment Group","BRDG","1200.51","NYSE","12","Finance","Financial - Investment Funds","9.64",".69",".82","1.11"
"Brera Holdings PLC","BREA","8.05","NSDQ","12","Consumer Discretionary","Gaming","6.33","-3.9","",""
"Barfresh Food Group","BRFH","47.82","NSDQ","12","Consumer Staples","Beverages - Soft drinks","3","-.19","-.12","0"
"BrilliA Inc","BRIA","79.01","AMEX","3","Retail-Wholesale","Retail - Apparel and Shoes","2.58","",".17",".23"
"Bridgford Foods","BRID","67.8","NSDQ","10","Consumer Staples","Food - Miscellaneous","7.47","-.37","",""
"Berkshire Hathaway","BRK.A","1077916.5","NYSE","12","Finance","Insurance - Property and Casualty","749478","32994.6","",""
